,cuisine,id,ingredient_list
64,indian,25390,"garam masala, yellow onion, cumin seed, chopped cilantro fresh, canola oil, plain yogurt, diced tomatoes, chickpeas, fresh lime juice, ground turmeric, yukon gold potatoes, cayenne pepper, garlic cloves, basmati rice, ground cumin, kosher salt, ginger, ground coriander, chopped fresh mint, hothouse cucumber"
65,indian,18467,"boneless chicken skinless thigh, Knorr® Pasta Sides™ - Chicken flavor, cumin, nonfat plain greek yogurt, red bell pepper, olive oil, lemon juice, chili powder, onions"
66,indian,8159,"water, dried mint flakes, greek style plain yogurt, black pepper, zucchini, salt, tumeric, unsalted butter, lamb shoulder, curry powder, cinnamon, couscous"
67,indian,35316,"mace, star anise, nutmeg, whole cloves, cinnamon sticks, black peppercorns, bay leaves, green cardamom pods, coriander seeds, cumin seed"
68,indian,20232,"eggs, rice, chili powder, onions, mint leaves, oil, tomatoes, salt, ground turmeric"
69,indian,36788,"ground cloves, diced tomatoes, cayenne pepper, red bell pepper, coriander powder, garlic, ground cardamom, onions, garam masala, ginger, chickpeas, coconut milk, tumeric, vegetable oil, salt, mustard seeds"
70,indian,19818,"red chili powder, boneless chicken, oil, curry leaves, red chili peppers, all-purpose flour, tumeric, salt, lemon juice, eggs, black pepper, green chilies"
71,indian,47977,"water, cilantro, cinnamon sticks, tomatoes, garam masala, salt, masala, black peppercorns, chicken breasts, oil, ground nutmeg, star anise, onions"
72,indian,34345,"tomatoes, pepper, chili powder, onions, garlic paste, garam masala, vegetable oil, coriander, tumeric, coriander powder, salt, ginger paste, minced chicken, potatoes, green chilies, ground cumin"
73,indian,22705,"fresh ginger, garlic, ground coriander, onions, water, vegetable oil, chickpeas, lemon juice, ground cumin, tomatoes, garam masala, salt, cumin seed, ground turmeric, amchur, paprika, green chilies, ground cayenne pepper"
74,indian,32775,"fresh ginger, paprika, cayenne pepper, onions, tomatoes, sweet potatoes, garlic, coconut milk, tomato paste, garam masala, vegetable broth, chickpeas, plain yogurt, vegetable oil, salt, curry paste"
75,indian,43219,"serrano chilies, fresh ginger, salt, chopped cilantro fresh, lime juice, garlic, fresh mint, tumeric, potatoes, cumin seed, caraway seeds, chili, purple onion, salad oil"
76,indian,25553,"chili flakes, fresh ginger, baby spinach, salt, bird chile, tumeric, potatoes, heavy cream, lemon juice, chopped garlic, spinach, finely chopped onion, butter, grated nutmeg, chopped cilantro, fenugreek leaves, olive oil, vegetable oil, ginger, corn starch"
77,indian,12323,"cauliflower, olive oil, ginger, tumeric, sweet potatoes, black mustard seeds, red lentils, garam masala, garlic, white onion, vegetable stock, curry paste"
78,indian,38911,"mild olive oil, chili powder, spelt flour, garlic cloves, onions, whole grain spelt flour, cilantro leaves, firm tofu, lemon juice, ground cumin, garam masala, paprika, green pepper, ground cardamom, cashew nuts, low sodium salt, mint leaves, natural yogurt, green chilies, ginger root"
79,indian,9007,"red chili powder, garam masala, poppy seeds, green cardamom, bay leaf, curry leaves, tumeric, bone-in chicken, salt, oil, tomatoes, coconut, yoghurt, cilantro leaves, cinnamon sticks, clove, garlic paste, finely chopped onion, star anise, green chilies, shahi jeera"
80,indian,36978,"water, cilantro, cinnamon sticks, canola oil, clove, fresh ginger root, salt, onions, kidney beans, garlic, bay leaf, black peppercorns, red pepper, cardamom pods, plum tomatoes"
81,indian,23770,"fresh ginger, paprika, ground turmeric, vegetable oil, salt, chili powder, cauliflower florets, water, russet potatoes, frozen peas"
82,indian,15240,"water, red pepper flakes, garlic, smoked paprika, ground turmeric, boneless chicken skinless thigh, ground black pepper, diced tomatoes, ground coriander, onions, tomato paste, garam masala, sea salt, cayenne pepper, coconut milk, ground cumin, kosher salt, vegetable oil, ginger, ground cardamom, chopped cilantro fresh"
83,indian,377,"water, nonfat yogurt plain, salt, barley, barley flour"
84,indian,19357,"mint, kirby cucumbers, salt, pomegranate seeds, cilantro, lime, paprika, mango, brown sugar, idaho potatoes, chaat masala"
85,indian,49290,"curry powder, ginger, yellow onion, coconut milk, frozen peas, cauliflower, garam masala, vegetable broth, peanut oil, chopped cilantro, cashew nuts, tomato paste, yukon gold potatoes, garlic, tamarind concentrate, onions, black pepper, red pepper flakes, salt, carrots, coriander"
86,indian,24496,"strong white bread flour, yoghurt, cilantro leaves, water, vegetable oil, yeast, fresh coriander, black onion seeds, garlic cloves, honey, salt"
87,indian,7930,"tomatoes, paneer, oil, ground cumin, gravy, tomato ketchup, onions, chili powder, cumin seed, ground turmeric, water, salt, black mustard seeds"
88,indian,30463,"cold water, ground cardamom, nonfat yogurt, ice cubes, mango, splenda"
89,indian,18832,"low-fat plain yogurt, boneless skinless chicken breasts, cilantro leaves, ginger root, garam masala, paprika, cayenne pepper, brown basmati rice, mild curry powder, sea salt, nonfat yogurt plain, fresh mint, raw honey, garlic, lemon juice"
90,indian,40707,"ground ginger, Nutella, ground cloves, ground cardamom, coconut flakes, cinnamon, unsweetened coconut milk, bananas, coconut milk yogurt"
91,indian,24079,"chopped nuts, whole milk, cardamom pods, rose essence, paneer, milk, maida flour, saffron, sugar, yellow food coloring, lemon juice"
92,indian,34500,"salt, chaat masala, potatoes, rice flour, oil, butter, gram flour"
93,indian,21435,"chicken stock, salt, boneless skinless chicken breast halves, cayenne, garlic cloves, lime, cilantro leaves, basmati rice, sweetened coconut flakes, coconut milk"
94,indian,2884,"mayonaise, lemon juice, paprika, salt, curry powder, grated lemon peel"
95,indian,45045,"vermicelli, saffron, water, ground cardamom, sugar, raisins, milk, ghee"
96,indian,29156,"salt, ghee, oil, rice, jaggery, grated coconut, ground cardamom"
97,indian,35797,"water, salt, peanuts, ground cumin, curry powder, ground turmeric, chili powder"
98,indian,40276,"serrano peppers, salt, garlic cloves, canola oil, halibut fillets, green onions, cream cheese, greek yogurt, garam masala, butter, cumin seed, chopped fresh mint, sugar, peeled fresh ginger, cilantro leaves, fresh lemon juice"
99,indian,16022,"curry powder, garlic, chopped cilantro, chicken stock, lime, lamb shoulder, onions, coconut oil, ground black pepper, salt, lite coconut milk, chile pepper, scallions"
100,indian,20347,"yoghurt, cucumber, chopped garlic, coconut oil, salt, jeera, curry leaves, ginger, mustard seeds, grated coconut, green chilies, onions"
101,indian,39102,"yoghurt, ginger, chopped cilantro, extra firm tofu, vegetable oil, garlic cloves, ground turmeric, unsweetened soymilk, chili powder, salt, onions, jalapeno chilies, cilantro, lemon juice"
102,indian,40528,"tumeric, purple onion, curry leaves, water, dried chickpeas, bread crumbs, salt, chili flakes, vegetable oil, cumin"
103,indian,37322,"fat free yogurt, crystallized ginger, ground cardamom, saffron threads, water, golden raisins, cashew nuts, vodka, granulated sugar, ghee, powdered sugar, semolina, non-fat sour cream"
104,indian,22587,"red chili peppers, tamarind paste, cumin, ginger, chutney, channa dal, oil, salt, onions"
105,indian,35144,"curry leaves, coriander seeds, kasuri methi, dried red chile peppers, tumeric, coriander powder, cumin seed, onions, tomatoes, garam masala, garlic, chopped cilantro, water, mushrooms, oil, ground cumin"
106,indian,32385,"red chili powder, garam masala, greek yogurt, lime juice, red pepper flakes, chat masala, coriander powder, ground cumin, brussels sprouts, olive oil, salt"
107,indian,9725,"jasmine rice, butter, bay leaf, curry powder, light coconut milk, water, vegetable broth, onions, golden raisins, salt"
108,indian,1694,"carrots, milk, cashew nuts, sugar, ghee, ground cardamom"
109,indian,13324,"tumeric, hot pepper, garlic, lentils, basmati rice, cauliflower, garam masala, paprika, cayenne pepper, chopped cilantro, plain yogurt, vegetable oil, salt, mustard seeds, ground cumin, tomatoes, bell pepper, ginger, cumin seed, onions"
110,indian,3707,"kasuri methi, pepper, cilantro leaves, cream, salt, cheese cubes, oil"
111,indian,20536,"cumin seed, plain yogurt, salt, seedless cucumber, chopped cilantro fresh"
112,indian,25687,"garbanzo beans, oil, white onion, peas, cumin, frozen chopped spinach, garam masala, broth, curry powder, garlic"
113,indian,5517,"dal, salt, yoghurt, rice"
114,indian,8590,"red pepper flakes, onions, minced ginger, garlic, cumin, diced tomatoes, ground turmeric, garam masala, curry paste"
115,indian,17062,"ground cinnamon, swiss chard, unsalted dry roast peanuts, corn starch, diced onions, curry powder, chicken breast halves, baby carrots, fat free less sodium chicken broth, ground red pepper, salt, ground cumin, tomato paste, olive oil, light coconut milk, long-grain rice"
116,indian,41342,"tomatoes, fresh ginger, jalapeno chilies, fennel seeds, water, garam masala, cilantro, fresh turmeric, chili, potatoes, ghee, cauliflower, asafoetida, coriander seeds, sea salt"
117,indian,35757,"gin, black tea leaves, cinnamon sticks, saffron threads, water, salt, green cardamom pods, whole milk, ground cardamom, light brown sugar, pistachios, grated nutmeg"
118,indian,39940,"soda, oil, ground turmeric, water, cilantro leaves, mustard seeds, ginger paste, salt, lemon juice, green gram, coconut, green chilies, asafoetida powder"
119,indian,41626,"red chili peppers, dhal, sweet potatoes, fresh spinach"
120,indian,42764,"sugar, baking powder, oil, baking soda, salt, cumin, milk, butter, coriander, yoghurt, all-purpose flour"
121,indian,6863,"brown sugar, paprika, chopped cilantro, fresh curry leaves, cumin seed, ground turmeric, kosher salt, peanut oil, jaggery, chickpea flour, black-eyed peas, tamarind concentrate, asafetida"
122,indian,34022,"curry leaves, sugar, coconut, green chilies, cinnamon sticks, white vinegar, eggs, water, salt, oil, tomatoes, red chili peppers, ginger, cumin seed, onions, clove, black peppercorns, steamer, cilantro leaves, rice flour"
123,indian,38897,"garlic, onions, ground ginger, cayenne pepper, white vinegar, salt, olive oil, apricot preserves"
124,indian,5338,"clove, ground black pepper, salt, carrots, ground turmeric, water, fresh green bean, cayenne pepper, onions, roasted cashews, corn oil, broccoli, red bell pepper, corn kernels, garlic, long-grain rice, chopped cilantro fresh"
125,indian,46,"vegetable oil, onions, curry leaves, green chilies, salt, fresh ginger, dal"
126,indian,44223,"jasmine rice, unsalted butter, grapeseed oil, yellow onion, ground turmeric, cauliflower, coriander seeds, fenugreek, extra-virgin olive oil, chopped cilantro, fresh ginger, jalapeno chilies, sea salt, cumin seed, tomato purée, garam masala, brown mustard seeds, garlic, frozen peas"
127,indian,30467,"tomatoes, mint leaves, green chilies, cinnamon sticks, basmati rice, garlic paste, salt, cardamom, onions, red chili powder, yoghurt, oil, bay leaf, chicken, clove, coriander powder, cilantro leaves, lemon juice, shahi jeera"
128,indian,42516,"garam masala, urad dal, onions, tumeric, broccoli florets, oil, water, channa dal, bay leaf, red chili powder, potatoes, salt, cumin"
129,indian,33477,"coconut oil, prawns, ginger, curry leaves, pepper, seeds, salt, mustard, tumeric, fenugreek, garlic, tomatoes, coconut, chili powder, onions"
130,indian,40466,"chicken thighs, vegetable oil, yoghurt, spices"
131,indian,27298,"sugar, green chilies, water, cumin seed, peanuts, lemon juice, salt, coriander"
132,indian,40840,"olive oil, lime wedges, garlic cloves, water, sweet potatoes, chopped onion, fat free less sodium chicken broth, chopped green bell pepper, light coconut milk, basmati rice, curry powder, peeled fresh ginger, roasting chickens"
133,indian,46068,"garam masala, ginger, corn starch, nonfat evaporated milk, kosher salt, chicken breasts, garlic, chicken thighs, sugar, jalapeno chilies, cauliflower florets, onions, cumin, crushed tomatoes, butter, nonfat yogurt plain, coriander"
134,indian,25903,"lamb stock, vegetable oil, rice, onions, curry leaves, kidney beans, ginger, thyme sprigs, mild curry powder, chopped tomatoes, mutton, chillies, roti, lemon, garlic cloves, coriander"
135,indian,24791,"dry coconut, sweetened condensed milk, cardamom, ravva, roasted cashews, ghee"
136,indian,11415,"plain yogurt, ground red pepper, lamb chops, cinnamon sticks, saffron, tomatoes, milk, vegetable oil, black cardamom pods, onions, garlic paste, cooking oil, salt, lemon juice, basmati rice, clove, water, chile pepper, cilantro leaves, fresh mint, ginger paste"
137,indian,20356,"bengal gram, salt, cooking oil, cumin seed, split black lentils, rice, water, split yellow lentils, dried red chile peppers"
138,indian,9906,"garlic, chopped parsley, curry powder, brown lentils, homemade chicken stock, salt, onions, olive oil, hot curry powder"
139,indian,27144,"tomatoes, lemon, chickpeas, garlic cloves, ground cumin, tumeric, yeast extract, ground coriander, toasted sesame seeds, chili flakes, ginger, coconut cream, onions, red lentils, baby spinach leaves, broccoli, oil, cashew nuts"
140,indian,42602,"flour, salt, water"
141,indian,34825,"tomatoes, ground red pepper, rice, mustard seeds, red lentils, coriander seeds, red wine vinegar, cumin seed, ground turmeric, water, baking potatoes, chopped onion, fresh parsley, light butter, peeled fresh ginger, salt, garlic cloves"
142,indian,41094,"yellow mustard seeds, black mustard seeds, vegetable oil, ground red pepper, ground turmeric, turnips, salt"
143,indian,15358,"water, curry, basmati rice, florets, firm tofu, cauliflower, diced tomatoes, juice, olive oil, yellow onion"
144,indian,25944,"coriander powder, garlic, onions, tumeric, chili powder, oil, ground cumin, extra firm tofu, salt, plum tomatoes, garam masala, cilantro, lemon juice"
145,indian,7909,"dried lentils, coriander seeds, baking powder, ginger, garlic cloves, curry powder, ground black pepper, red pepper flakes, low sodium chicken stock, onions, eggs, milk, sweet potatoes, cracked black pepper, scallions, kosher salt, garam masala, vegetable oil, all-purpose flour, carrots"
146,indian,8400,"ground red pepper, boneless pork loin, chopped cilantro fresh, garam masala, salt, garlic cloves, ground cumin, tomatoes, dry red wine, chopped onion, basmati rice, peeled fresh ginger, all-purpose flour, mustard seeds"
147,indian,25479,"curry leaves, chiles, coriander seeds, boneless skinless chicken breasts, garlic, cumin seed, ground turmeric, store bought low sodium chicken broth, chili pepper, tamarind pulp, cinnamon, cardamom pods, bay leaf, tomatoes, kosher salt, ground black pepper, vegetable oil, fenugreek seeds, ground chile, fennel seeds, cooked rice, coconut, yoghurt, star anise, okra, onions"
148,indian,13855,"garam masala, salt, ground cumin, spinach, ginger, cooking fat, coriander powder, yellow onion, pepper, garlic, ground turmeric"
149,indian,4004,"tomatoes, pepper, chicken breasts, salt, cider vinegar, olive oil, ginger, onions, tomato purée, lime, red pepper, green chilies, tandoori spices, garam masala, garlic, coriander"
150,indian,30137,"spanish onion, garam masala, garlic, carrots, ground cloves, paste tomato, potatoes, cumin seed, frozen peas, olive oil, ground black pepper, salt, ground beef, water, coriander seeds, cinnamon, lentils"
151,indian,42429,"eggs, whole wheat flour, all-purpose flour, warm water, garlic, sugar, unsalted butter, yeast, milk, salt"
152,indian,23168,"cilantro sprigs, coriander seeds, fresh lemon juice, cinnamon, ground cumin, eggplant, extra-virgin olive oil"
153,indian,28499,"ground black pepper, chickpeas, curry powder, tomatoes with juice, onions, ground chicken, fat free greek yogurt, chopped cilantro, olive oil, salt"
154,indian,42960,"tumeric, vegetable oil, ground coriander, garam masala, salt, onions, kidney beans, garlic, cumin seed, tomatoes, grated cauliflower, cayenne pepper"
155,indian,36803,"water, unsalted butter, paprika, ground cardamom, basmati rice, white onion, ground black pepper, boneless skinless chicken breasts, peanut oil, fresh lime juice, ground cumin, kosher salt, cayenne, heavy cream, ground coriander, chopped cilantro fresh, tomato purée, ground nutmeg, peeled fresh ginger, garlic, greek yogurt, naan"
156,indian,7325,"butter, curry powder, breast, mustard, salt, honey"
157,indian,35702,"peanuts, salt, chile pepper, fresh ginger root, lemon juice, fresh cilantro, garlic"
158,indian,13591,"cooked rice, chili, salt, onions, minced garlic, paprika, ground coriander, tumeric, garam masala, chickpeas, canola oil, tomatoes, minced ginger, cilantro, lemon juice"
159,indian,22081,"water, salt, lentils, mint, potatoes, green chilies, onions, curry leaves, tamarind, fenugreek seeds, mustard seeds, garlic paste, spices, cumin seed, ground turmeric"
160,indian,46504,"ghee, green chilies, cumin, ginger piece, onions, oil, green gram"
161,indian,37808,"cooking spray, paprika, fresh mint, chicken legs, chili powder, salt, ground turmeric, ground red pepper, garlic, fresh lime juice, fresh ginger, fat free greek yogurt, cucumber, ground cumin"
162,indian,33159,"coriander seeds, large garlic cloves, onions, chiles, vegetable oil, cucumber, chicken, minced ginger, coarse salt, greek yogurt, fennel seeds, lime wedges, cumin seed, ground turmeric"
163,indian,27253,"clove, garam masala, kasuri methi, oil, ghee, ground ginger, chili powder, curds, cinnamon sticks, ground turmeric, fennel seeds, coriander powder, salt, cardamom, onions, tomatoes, spices, cumin seed, bay leaf, baby potatoes"
164,indian,48478,"granulated sugar, orange flower water, cinnamon sticks, raw pistachios, ground tumeric, ground cardamom, basmati rice, dried barberries, raisins, oil, raw almond, orange, salt, carrots, saffron"
165,indian,12856,"ground black pepper, paprika, garlic, juice, ground turmeric, coriander seeds, whole peeled tomatoes, ginger, cumin seed, serrano chile, kosher salt, hand, cilantro, purple onion, dried kidney beans, canola oil, garam masala, cinnamon, chile de arbol, fresh lemon juice, basmati rice"
166,indian,4047,"water, salt, ground turmeric, ginger, carrots, moong dal, urad dal, mustard seeds, chili powder, oil"
167,indian,45383,"minced garlic, salt, chicken, ground ginger, garam masala, ground cardamom, olive oil, fat, black pepper, lemon, cumin"
168,indian,26406,"peeled fresh ginger, fresh lemon juice, zucchini, purple onion, plum tomatoes, eggplant, large garlic cloves, chopped fresh mint, chili, vegetable oil, mustard seeds"
169,indian,4931,"pure olive oil, white distilled vinegar, chili powder, mustard seeds, sugar, mulato chiles, salt, tomatoes, coriander seeds, chile de arbol, red chili peppers, seeds, cumin seed"
170,indian,6899,"chile powder, water, large garlic cloves, ground turmeric, green chile, peeled fresh ginger, ground coriander, tomatoes, curry powder, salt, mango, unsweetened coconut milk, coconut oil, sea bass fillets, black mustard seeds"
171,indian,5125,"water, chile pepper, cilantro leaves, onions, tomatoes, cooking oil, salt, brown cardamom, ground cumin, red chili powder, bay leaves, lamb chops, cinnamon sticks, fresh ginger root, garlic, green cardamom, ground turmeric"
